what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1423583972060
java.runtime.version,sysinfo,,,"1.7.0_71-b14",1423583972060
java.specification.name,sysinfo,,,"Java Platform API Specification",1423583972060
java.specification.vendor,sysinfo,,,"Oracle Corporation",1423583972060
java.specification.version,sysinfo,,,"1.7",1423583972060
java.vendor,sysinfo,,,"Oracle Corporation",1423583972060
java.version,sysinfo,,,"1.7.0_71",1423583972060
java.vm.info,sysinfo,,,"mixed mode, sharing",1423583972060
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1423583972060
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1423583972060
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1423583972060
java.vm.specification.version,sysinfo,,,"1.7",1423583972060
java.vm.vendor,sysinfo,,,"Oracle Corporation",1423583972060
java.vm.version,sysinfo,,,"24.71-b01",1423583972060
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1423583972559
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1423583972731
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1423583972746
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1423583972902
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.core",1423583973043
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.200.v201008201800,"org.eclipse.jst.ws.jaxrs.core",1423583973058
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1423583973105
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1423583973245
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1423583973308
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1423583973557
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1423583973589
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1423583973604
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1423583974759
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1423583974790
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1423583976303
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1423583976365
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1423583976397
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1423583978659
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1423583978737
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1423583978737
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1423583980406
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1423583980468
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1423583980468
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1423583980640
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1423583982356
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1423583982434
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1423583982434
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1423583984056
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1423583984056
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423583994539
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423584003806
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1423584008002
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1423584008221
started,bundle,org.eclipse.wst.ws.service.policy,1.0.203.v201004211732,"org.eclipse.wst.ws.service.policy",1423584008236
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1423584008283
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1423584008283
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1423584008439
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1423584008455
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1423584008860
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423584013181
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423584030482
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423584043290
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423584060980
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1423584061230
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1423584061308
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1423584078296
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1423584082758
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423584103693
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423584227379
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423584227691
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1423584239718
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.1.v201008232129,"org.eclipse.jst.ws.jaxws.ui",1423584239749
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1423584239765
started,bundle,org.eclipse.pde.api.tools,1.0.202.v20100820_r361,"org.eclipse.pde.api.tools",1423584239890
started,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1423584239905
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1423584240701
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1423584255396
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423584257440
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423584257643
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1423584264335
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1423584320214
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1423584353380
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1423584362662
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1423584371726
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1423584386281
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423584391694
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423584391912
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1423584397559
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423584399135
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423584399369
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423584481238
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423584513249
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1423584560907
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423584564121
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423584564339
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1423584575680
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423584576944
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423584577194
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1423584599158
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423584600672
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423584600890
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1423584612060
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423584626427
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423584671792
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1423584690793
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1423584692821
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1423584693055
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1423584693648
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1423584693913
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1423584694085
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1423584694287
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1423584694709
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1423584697251
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1423584732461
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1423584749558
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423584811412
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423584860802
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1423584872908
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1423584883110
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423584887853
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423584944153
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1423584958490
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423584960627
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423584960892
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1423584970829
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1423584973013
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1423584973700
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1423584973887
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1423584976820
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423584993496
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423585014853
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423585029720
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423585031795
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1423585051264
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1423585054072
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1423585093571
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1423585102525
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1423585109405
